"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 27 16:55:14 CST 2022","Mon Jun 27 16:55:47 CST 2022","32882","tests","test_02_search","TestMine","","","test_00_search_user","检查搜索用户"
"passed","Tue Jun 28 16:45:21 CST 2022","Tue Jun 28 16:45:48 CST 2022","26562","tests","test_00_login","TestLogin","","","test_01_phone_login","登录账号"
"passed","Tue Jun 28 16:47:33 CST 2022","Tue Jun 28 16:48:26 CST 2022","52931","tests","test_01_mine","TestMine","","","test_01_edit_account_introduce","修改个性签名"
"broken","Tue Jun 28 16:48:39 CST 2022","Tue Jun 28 16:48:52 CST 2022","12666","tests","test_01_mine","TestMine","","","test_01_edit_account_jellow","修改会员标识"
"broken","Tue Jun 28 16:49:52 CST 2022","Tue Jun 28 16:50:05 CST 2022","12552","tests","test_02_search","TestSearch","","","test_00_search_circle","检查搜索综合"
"passed","Tue Jun 28 16:45:07 CST 2022","Tue Jun 28 16:45:18 CST 2022","11227","tests","test_00_login","TestLogin","","","test_00_check_agreement","检查登录页协议更新弹窗"
"passed","Tue Jun 28 16:49:24 CST 2022","Tue Jun 28 16:49:52 CST 2022","28700","tests","test_02_search","TestSearch","","","test_00_search_user","检查搜索用户"
"broken","Tue Jun 28 16:46:03 CST 2022","Tue Jun 28 16:46:37 CST 2022","33458","tests","test_00_login","TestLogin","","","test_02_logout","登出账号"
"passed","Tue Jun 28 16:48:26 CST 2022","Tue Jun 28 16:48:39 CST 2022","13217","tests","test_01_mine","TestMine","","","test_01_edit_account_gender","修改性别"
"passed","Tue Jun 28 16:47:16 CST 2022","Tue Jun 28 16:47:33 CST 2022","17473","tests","test_01_mine","TestMine","","","test_00_check_mine","检查我的页面元素"
"broken","Mon Jun 27 16:55:47 CST 2022","Mon Jun 27 16:56:20 CST 2022","32917","tests","test_02_search","TestMine","","","test_00_search_circle","检查搜索综合"
